date,daily_pnl,daily_volume_usd,sentiment_value
2025-02-05,56706.235562,8743231.51,54.0
2025-02-06,33803.799733,2818508.87,49.0
2025-02-07,22450.002091,3460263.54,44.0
2025-02-08,586.703253,839734.97,44.0
2025-02-09,150551.829492,2920919.7,46.0
2025-02-10,63908.49465,3624958.44,43.0
2025-02-11,-6093.784817,2797544.17,47.0
2025-02-12,19848.635032,4143974.54,46.0
2025-02-13,27829.534238,3199852.21,50.0
2025-02-14,213860.675308,4007103.42,48.0
2025-02-15,45042.92701,1712852.95,50.0
2025-02-16,2369.478425,806177.64,54.0
2025-02-17,1818.573295,2031044.64,51.0
2025-02-18,91204.672403,3371128.68,47.0
2025-02-19,14985.794701,3263930.24,44.0
2025-02-20,46008.794102,4628609.29,49.0
2025-02-21,119693.49395,3972159.88,55.0
2025-02-22,25278.704178,3175570.2,49.0
2025-02-23,10656.934251,1141310.74,50.0
2025-02-24,38470.176242,11223619.59,49.0
2025-02-25,204762.177034,19414984.36,25.0
2025-02-26,63229.063129,4946958.13,21.0
2025-02-27,-36525.167517,1999898.43,10.0
2025-02-28,225628.108748,4123660.77,16.0
2025-03-01,10596.108968,263824.13,20.0
2025-03-02,66914.320708,6460848.74,26.0
2025-03-03,616413.032233,8244590.38,33.0
2025-03-04,182075.566585,11124247.15,15.0
2025-03-05,269328.365917,9193654.22,20.0
2025-03-06,16101.125561,6765324.96,25.0
2025-03-07,150236.061627,19854275.48,34.0
2025-03-08,24700.773359,892083.51,28.0
2025-03-09,19773.457395,10419697.99,27.0
2025-03-10,-10010.027269999999,16811790.68,20.0
2025-03-11,-76880.729036,14016952.09,24.0
2025-03-12,288105.984215,18618139.15,34.0
2025-03-13,14114.870873,3285591.22,45.0
2025-03-14,68646.160089,8047187.16,27.0
2025-03-15,78694.624572,2355749.54,46.0
2025-03-16,-7910.943544999999,10187921.51,30.0
2025-03-17,26163.906513,3592895.05,32.0
2025-03-18,72322.788824,4050655.47,34.0
2025-03-19,29374.682341,4598813.57,32.0
2025-03-20,10246.859436,1652257.93,49.0
2025-03-21,6951.270374,2543903.39,31.0
2025-03-22,12498.535254,971809.42,32.0
2025-03-23,14047.421585,2593519.67,30.0
2025-03-24,107878.961301,3017587.05,45.0
2025-03-25,32030.90678,5372519.77,46.0
2025-03-26,15802.167427,7597754.37,47.0
2025-03-27,58825.359221,3240279.46,40.0
2025-03-28,21337.179335,1483092.61,44.0
2025-03-29,12098.872931,3668151.83,26.0
2025-03-30,15795.11514,2850874.96,32.0
2025-03-31,6978.184557,2164772.4699999997,34.0
2025-04-01,-2202.6622420000003,704445.1900000001,34.0
