account,classification,trades,total_pnl,win_rate
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Extreme Fear,221,198900.56161,42.08
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Extreme Greed,227,573.585288,0.44
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Fear,431,144514.3446,64.5
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Greed,488,21077.717,12.3
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Neutral,57,-4526.698469,0.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Fear,316,25672.838055,91.46
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,3831,210726.855269,85.46
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Fear,1664,49364.275663,77.94
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,2618,95937.394195,80.79
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Neutral,1464,-2605.9564710000004,71.52
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Extreme Fear,825,3222.822132,47.39
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Extreme Greed,3,1260.832586,33.33
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Fear,544,4036.552319,46.88
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Greed,83,6775.291988000001,53.01
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Neutral,104,-395.0559780000001,13.46
0x8170715b3b381dffb7062c0298972d4727a0a63b,Extreme Fear,159,12713.493131000001,27.67
0x8170715b3b381dffb7062c0298972d4727a0a63b,Extreme Greed,98,-19135.913281,5.1
0x8170715b3b381dffb7062c0298972d4727a0a63b,Fear,1745,151292.732859,29.68
0x8170715b3b381dffb7062c0298972d4727a0a63b,Greed,1653,-360101.898234,54.69
0x8170715b3b381dffb7062c0298972d4727a0a63b,Neutral,946,47610.460743999996,30.66
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Extreme Fear,49,-4825.496358,20.41
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Extreme Greed,80,11.717676000000012,2.5
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Fear,55,258.41533,34.55
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Greed,297,57108.9113,48.15
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Neutral,1430,12960.109958,31.96
0x8477e447846c758f5a675856001ea72298fd9cb5,Extreme Fear,539,1774.309786,25.05
0x8477e447846c758f5a675856001ea72298fd9cb5,Extreme Greed,3986,56071.411052999996,33.62
0x8477e447846c758f5a675856001ea72298fd9cb5,Fear,1474,9299.484548,32.7
0x8477e447846c758f5a675856001ea72298fd9cb5,Greed,6804,-24036.539128,19.91
0x8477e447846c758f5a675856001ea72298fd9cb5,Neutral,2195,808.3427170000001,28.11
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Extreme Fear,68,3425.96095,48.53
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Extreme Greed,1549,63520.274683,27.95
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Fear,191,-621.54506,0.0
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Greed,1199,60254.251561,33.78
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Neutral,45,0.0,0.0
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Extreme Fear,270,1011.258943,22.59
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Extreme Greed,3497,47791.247782,42.35
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Fear,2324,12934.469345,31.84
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Greed,4115,35098.877549,33.75
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Neutral,5399,9467.021637,31.95
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Extreme Fear,5,-961.048507,0.0
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Extreme Greed,256,46411.26711,51.95
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Fear,44,-16719.913714000002,6.82
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Greed,108,44169.810737,95.37
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Neutral,4,-53.631353999999995,0.0
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Extreme Fear,80,622.41079,7.5
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Extreme Greed,190,20925.513222,55.26
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Fear,123,8129.3406589999995,34.96
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Greed,170,38168.35486,44.71
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Extreme Fear,17,0.0,0.0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Extreme Greed,5,15.24474,20.0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Fear,455,14542.702934,32.75
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Greed,5,43.2005,40.0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Neutral,52,7157.683579,38.46
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Fear,739,9544.906134,31.12
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,1643,1105304.859175,51.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Fear,3005,93165.161357,32.71
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,5889,534058.23633,27.32
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Neutral,3457,401309.434693,37.81
0xb899e522b5715391ae1d4f137653e7906c5e2115,Extreme Fear,1577,-33221.806818,33.61
0xb899e522b5715391ae1d4f137653e7906c5e2115,Fear,2947,51692.358711,51.1
0xb899e522b5715391ae1d4f137653e7906c5e2115,Neutral,314,4017.948928,27.39
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Extreme Fear,4480,261917.977792,37.95
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Fear,12437,620872.375844,49.83
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Greed,5,4.672458,20.0
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Neutral,4270,57368.780126,47.1
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Extreme Fear,387,37712.523408999994,25.06
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Extreme Greed,310,6053.160569999998,8.39
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Fear,1181,236797.727737,49.87
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Greed,350,30258.203855,24.29
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Neutral,413,-90302.553718,16.46
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Extreme Fear,5079,30774.092128,41.33
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Extreme Greed,6723,478811.468185,59.63
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Fear,12901,55978.79696,37.66
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Greed,7338,243399.51314,46.47
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Neutral,8143,27116.682664,34.78
